plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
JAZZCAT,2,LOVER OF JAZZ MUSIC AND PET CATS,PULLED FOR CAT,Y,N,contains the restricted letter combinationJAZ
PREDITR,2,PREDATOR,PREDATOR,N,Y,Approved
PUTOOOO,2,CHILDHOOD NICKNAME,PUTO MEANS FUCKING IN SPANISH,N,Y,Approved
LOCOLOC,2,MOTOLOCO LOCAL,LOC = GANG REFERENCE,N,Y,Approved
HOTAS65,3,I HAVE A 1965 CHEVY IMPALA AND I WANT TO USE THIS AS MY PLATES,HOT ASS 65(PULLED AFTER REVIEW),,N,ho
XLV INC,1,MY DREAM COMING TO LIFE,XLV = EXTRA LARGE VAGINA (PULLED AFTER REVIEW),,N,invalid characters
CHATOB,7D,,"CAN BE A WORD FOR HIGH OR STONED, DRUG REFERENCE",N,Y,Approved
CHULA4U,1,,"CHULA MEANS SEXY GIRL, ""SEXY GIRL FOR YOU"" COULD BE TAKEN AS SEXUAL OR IN REFERENCE TO PROSTITUTION",N,Y,Approved
DXM1957,7D,,"DXM IS SHORT FOR DEXTROMETHORPHAN, WHICH IS FOUND IN COUGH MEDICINE, YOUNG KIDS WILL MIX IT WITH JUICE AND GET HIGH/DRUNK OF IT",N,Y,Approved
E11913G,2,,"13G AT THE END STANDS OUT, COULD BE GANG REFERENCE",Y,N,must be for disabled person or veteran
H82LOZE,2,,"H8, HATE, HOSTILE",N,Y,Approved
NISSHOT,2,,"SHOT, WEAPON REFERENCE",Y,N,ho
PRELLYA,3,,LOOKS SIMILAR TO HELL YEAH,N,Y,Approved
RDWAVES,2,,"RED, GANG REFERENCE",N,Y,Approved
REDSAUX,2,,"RED, GANG REFERENCE",Y,N,"[('redskin', 90.0, 1301)]"
SILVA88,2,,"88, GANG REFERENCE",N,Y,Approved
TTLBCHN,3,,"""TOTAL BITCHIN""",N,Y,Approved
XCLR8ME,1,,EXHILARATE ME COULD BE TAKEN AS SEXUAL,N,Y,Approved
1ABC13,2,,"13, GANG REFERENCE",N,Y,Approved
1976C2O,6,,LOOK ALIKE,Y,N,must be for disabled person or veteran
4AUSCFN,3,,FN COULD MEAN FUCKING,N,Y,Approved
58BENZO,7D,,"BENZO IS SHORT FOR BENZODIAZEPHINE (XANAX, ATIVAN, ETC.), WHICH IS A DRUG REFERENCE",N,Y,Approved
VERSTOP,1,,"""VERS TOP"" IS A SEXUAL PREFERENCE FOR GAY MEN. ITS SAYING WHICH ""POSITION"" IN THE BEDROOM THEY PREFER",N,Y,Approved
YAYAHB,3,,COULD BE YA YA HEAD BITCH,N,Y,Approved
FA18,2,,"18, GANG REFERENCE",N,Y,Approved
BUCBCH,3,,BCH COULD STAND FOR BITCH,N,Y,Approved
FILS13,2,,"13, GANG REFERENCE",N,Y,Approved
MOMSBZY,3,,"BZY STANDS FOR BEEZY, ANOTHER WORD FOR BITCH",N,Y,Approved
ABAADMF,3,A BAD MUSTANG FANATIC,A BAD MOTHER FUCKER,N,Y,Approved
AHYWEYY,3,NAME CLOSE FRIEND,"CAN MEET ""OH SHIT"" OR ""OH FUCK""",N,Y,Approved
ALXHUNT,2,ABBREVIATION FOR ALEXANDRIA AND HUNTER,"HUNT, WEAPON REFERENCE",Y,N,hun
BMF1976,3,BEST MOVING FOWARD SINCE 1976,BMF CAN STAND FOR BAD MOTHER FUCKER,N,Y,Approved
CATDADI,1,CADILLAC DADDY,ANOTHER NAME FOR AN OLD MAN WHORE,N,Y,Approved
CATFISN,1,CAT FISHING,"CAT, SEXUAL REFERENCE",N,Y,Approved
DABFDS,3,,"BFD COULD STAND FOR BIG FUCKING DEAL. ""THE BIG FUCKING DEALS""",N,Y,Approved
DBLNDWN,1,DOUBLE DOWN AS IN STOCKS,BOUBLE DOWN CAN BE A SEXUAL TERM MEANING TO HAVE SEX WITH MORE THAN ONE PERSON AT A TIME,Y,N,wn
DPEKIX,7D,NICE SHOES,DPE STANDS FOR DOPE WHICH CAN BE A DRUG REFERENCE,N,Y,Approved
DUBTREY,7D,SAMUEL C WATTS III  DUB IS LETTER W FOR WATTS TREY IS FOR THE THIRD,DUB IS A DRUG REFERENCE,N,Y,Approved
FOXOGVN,3,FOXTROT (FOX) OVATION (O) GIVEN (GVN) - DAUGHTER IS A DANCER AND RECEIVED A STANDING OVATION FOR FOXTROT PERFORMANCE,"FUCKS, ZERO GIVEN",N,Y,Approved
FWERX,3,FWERX IS AN ABBREVIATION FOR FORMAWERX. A CLUB OF CAR DESIGNERS AND ENTHUSIASTS.,COULD BE FUCK WORKS,N,Y,Approved
GCASINI,2,L CASINI,"G, GANG REFERENCE",Y,N,contains the restricted letter combinationSIN
GMANTOY,1,NICKNAME AND ITS MY TOY,COULD BE A SEXUAL STATEMENT MEANING GAY MAN TOY,N,Y,Approved
GOMZ562,2,ABBREVIATION FOR LAST NAME AND ZIP CODE I CURRENTLY RESIDE IN.,AREA CODE,N,Y,Approved
HATERZS,2,,"HATERS, HOSTILE",N,Y,Approved
HOOTROD,1,HOOT IS A FUN SAYING( THIS IS A HOOT) ROD IS A FUN CAR,ROD CAN BE ANOTHER WORD FOR A MANS PENIS,Y,N,ho
KBEEZ92,3,NICKNAME AND BIRTH YEAR,BEEZ COULD STAND FOR BEEZY WHICH IS ANOTHER WORD FOR BITCH,N,Y,Approved
KITTY63,1,KITTY :) 6 THE MONTH I WAS BORN :) 3 MY 2  CHILDREN AND MY SELF,"KITTY, SEXUAL REFERENCE",N,Y,Approved
LAHSTL,2,FIRST LETTER OF ALL FAMILY MEMBERS NAMES IN LOS ANGELES,"HUSTLE, GANG REFERENCE",N,Y,Approved
LAMBOG,2,VEHICLE TAG,"G, GANG REFERENCE",N,Y,Approved
LINITUP,7D,MY SON RACES PROFESSIONAL OFF ROAD TRUCKS.,LINE IT UP COULD BE A REFERENCE TO LINING UP LINES OF COCAINE,N,Y,Approved
LOV1313,2,BIBLE VERSE CORINTHIANS 13:13,"13, GANG REFERENCE",N,Y,Approved
LUFTKUL,2,AIR COOL (IN GERMAN) THE CAR IS AN AIR  COOLED GERMAN CAR,LOOKS LIKE LOVE TO KILL,N,Y,Approved
MANMEET,1,,IT IS THE CUSTOMERS NAME BUT COULD BE TAKEN AS A SEXUAL REFERENCE TO A MANS PENIS,N,Y,Approved
MBDPS13,2,OUR FAMILY INITIALS,"13, GANG REFERENCE",N,Y,Approved
MFII,3,INITIALS,MF COULD STAND FOR MOTHER FUCKER,N,Y,Approved
MLP88,2,,"88, GANG REFERENCE",N,Y,Approved
NTNLESS,1,NOTHING LESS,NTN COULD STAND FOR NUTTIN WHICH IS A SEXUAL TERM,Y,N,"[('topless', 90.0, 157)]"
NWNWMWM,6,ITS THE SOUND MY CAR MAKES ON STARTUP,LOOK ALIKE,Y,N,wn
OGSMOKE,2,,"OG, GANG REFERENCE. SMOKE, DRUG REFERENCE",N,Y,Approved
O8MT7O7,2,08= MONTH OF BIRTH MT= INITIALS FOR MARIA TAMAYO 707= MY AREA CODE,AREA CODE,N,Y,Approved
PERPTR8,2,PERPETRATE,PERPETRATE COULD BE A HOSTILE TERM,N,Y,Approved
PSYKO78,2,"FROM A SONG FROM MY FAVORITE BAND, THE  MISFITS.",PYSCHO COULD BE A HOSTILE TERM,N,Y,Approved
PZZABOX,1,"I OWN A PIZZA PLACE AND MY CAR IS A SCION XB (BOX CAR), THEREFOR IT IS A PIZZA BOX","BOX, ANOTHER WORD FOR A WOMANS VAGINA",Y,N,abo
QJODES,3,"""QUE JODES"" IN NICARAGUA MEANS ""YOU'RE SO ANNOYING!"" ALTHOUGH THE ROOT VERB ""JODER"" COULD HAVE A SEXUAL CONNOTATION IN MEXICO, IN THIS CONTEXT IT'S NOT SEXUAL OR VULGAR WHATSOEVER.",COULD MEAN WANT TO FUCK,N,Y,Approved
REV2214,2,BIBLE SCRIPTURE REVELATION 22-14,"14, GANG REFERENCE",N,Y,Approved
RE661E,2,RE- RICHARD AND ELLIE 66- JUNE 6 TIME I WAS HIRED ON MY JOB 1E- DEPARTMENT WHERE I WORK 1ST EAST,AREA CODE,N,Y,Approved
RSTRFX,3,STORE FRONT,FX COULD STAND FOR FUCKS,N,Y,Approved
SFVOG,2,,"OG, GANG REFERENCE. SMOKE, DRUG REFERENCE",N,Y,Approved
SHILUDO,1,,SIMILAR TO CHILUDO WHICH IS A SLANG SPANISH TERM FOR A MALE WITH A LARGE PENIS,N,Y,Approved
SMARTSS,3,"MY CAR IS RARE SO PEOPLE CONSTANTLY ASK ME WHAT A CHEVY SS IS.I TELL THEM THAT AN SS IS JUST LIKE A ""SMART CAR"" BUT GETS BETTER GAS  MILEAGE,SO MY FAMILY SAYS I DRIVE A ""SMART SS"".",SMART ASS,N,Y,Approved
SPDEMON,3,,SPD CAN BE A DRUG REFERENCE AND SOME PEOPLE MAY FIND DEMON AS A HOSTILE TERM,Y,N,demon
S13PARK,2,S13= CAR NAME PARK= LAST NAME,"13, GANG REFERENCE",N,Y,Approved
TACOZ,1,TACOZ,"TACO, SEXUAL TERM",N,Y,Approved
ULOOZE,2,LOST,"U, HOSTILE",N,Y,Approved
USTANKR,2,,"TANKER, WEAPON REFERENCE",N,Y,Approved
WYERNUT,1,HOLDS WIRER,"NUT, SEXUAL TERM",N,Y,Approved
323SOLA,2,,AREA CODE,N,Y,Approved
4CHACHA,1,,CHA CHA CAN BE ANOTHER WORD FOR A WOMANS VAGINA,Y,N,"[('chocha', 83.33333333333334, 980)]"
4545,6,,ALL DIGITS,Y,N,"[('ass', 85.71428571428572, 3)]"
5149HAF,3,,HAF CAN STAND FOR HIGH AS FUCK,N,Y,Approved
67NAM69,1,MY MILITARY HISTORY,"69, SEXUAL REFERENCE",N,Y,Approved
69ELPHT,1,,"69, SEXUAL REFERENCE",N,Y,Approved
69GENT,1,THIS VEHICLE IS A 1969 GENTLEMENS SPORTS CAR WITH STYLE,"69, SEXUAL REFERENCE",N,Y,Approved
69GROOV,1,THE IS A GROOVY 1969 VEHICLE,"69, SEXUAL REFERENCE",N,Y,Approved
69ZEN,1,DRIVING THIS 1969 VEHICLE IS LIKE BEING IN  PERFECT ZEN,"69, SEXUAL REFERENCE",N,Y,Approved
74BLAZ,7D,74 CHEVY BLAZER,BLAZ IS ANOTHER WORD FOR GETTING HIGH,N,Y,Approved
8O5TYME,2,,AREA CODE,N,Y,Approved
8O8ALLD,2,IT MEANS THAT YOU EAT EVERY DAY.,"COULD BE 88 ALL DAY, WHICH IS A RACIST SAYING",N,Y,Approved
81O,6,MOTOCROSS NUMBER,ALL DIGITS,Y,N,bi
88E3OM3,2,,"88, GANG REFERENCE",N,Y,Approved
88TOYPU,2,1988 TOYOTA PICKUP,"88, GANG REFERENCE",N,Y,Approved
69G3TR,1,,"69, SEXUAL REFERENCE",N,Y,Approved
BL$EBRD,2,BLUEBIRD,"BLUE, GANG REFERENCE",Y,N,invalid characters
I$MALLY,7D,WIFES NIKNAME,LOOKS SIMILAR TO I LOVE MOLLY WHICH CAN BE A DRUG REFERENCE,Y,N,invalid characters
JOULBOX,1,,COULD BE REFERENCING A WOMANS VAGINA,N,Y,Approved
MSLSUB,2,I SERVED ON A BALLISTIC MISSLE SUBMARINE.,"""MISSLE, SUB"" WEAPON REFERENCE",N,Y,Approved
AMADORK,4,LAST NAME,"""IM AM A DORK"" COULD BE OFFENSIVE TO SOME",Y,N,mad
BRDITYM,7D,,"BIRDIE IS A SLANG WORD FOR COCAINE, COULD BE COCAINE TIME",N,Y,Approved
FLORDJ,3,,COULD STAND FOR FUCK LORD JESUS,N,Y,Approved
HEAT4U,2,,COULD BE A HOSTILE STATEMENT,N,Y,Approved
PRUS8TR,1,EAT PRIUS,SOUNDS AND LOOKS TOO SIMILAR TO PUS EATER,Y,N,contains the restricted letter combinationUSB
SUPKITY,1,SUPER KITTY,"KITTY, SEXUAL REFERENCE",N,Y,Approved
TZATOY,1,,"TZ COULD STAND FOR TEASE. ""TEASE A TOY"" SOUNDS SEXUAL",N,Y,Approved
BLUEHOG,2,BLUE HARLEY DAVIDSON MOTORCYCLE,"BLUE, GANG REFERENCE",Y,N,contains the restricted letter combinationHOG
HIEYO,7D,"SCOOTER IS SILVER, SO LIKE THE LONE RANGER  SAID: HIE YO SILVER AWAY","HI, DRUG REFERENCE.",N,Y,Approved
YAYE1,7D,GRANDSON,YAY CAN BE ANOTHER WORD FOR COCAINE,N,Y,Approved
TOHSPOT,7D,CALIFORNIA - TOURIST HOT SPOT,"POT, DRUG REFERENCE",Y,N,contains the restricted letter combinationPOT
AF ROMEO,2,ALFA ROMEO,"AS FUCK, does have a 2015 Alfa",Y,N,invalid length
AL747,2,PERSONALIZED,BURBANK-LOS ANGELES AREA CODE,N,Y,Approved
AMIFP13,2,NAME OF HUSBAND COMPANY AND THE YEAR THAT WAS STARTED,13 GANG NUMBER,N,Y,Approved
BTCSLYR,2,"A NOD TO MY FAVORITE TV SHOW, BUFFY THE VAMPIRE SLAYER",SLAYER=KILLER,N,Y,Approved
CTC M18,2,CECCHINI TRUCKING MINUS 18,18=HATE SYMBOL (CUSTOMER HAS A WHOLE SERIES LIKE THIS WITH NUMBERS 1-19 FOR HIS TRUCKING COMPANY),Y,N,invalid characters
DKS9THG,1,DAVIS/KATRINAS 9TH GENERATION ACCORD,DICKS,N,Y,Approved
DTSN8O8,1,NAME,"DOWN TO SUCK NASTY, IT IS CUSTOMER'S INITIALS",N,Y,Approved
FRANK88,2,MY NAME,88=HATE SYMBOL,N,Y,Approved
F TYPEE,3,IT IS THE MODEL OF MY CAR,"""f""= FUCK, HAS A JAGUAR AND THEY MAKE AN F TYPE",Y,N,invalid characters
GKLA,2,GOLD KINGS LOS ANGELES,"KILLER, G KILLER",N,Y,Approved
GLDNAXE,2,SIMPLY A GOLDEN AXE,AXE,N,Y,Approved
H82BEYU,2,HATE TO BE YOU,HATE,N,Y,Approved
IH8MUD2,2,I HATE MUD TOO,HATE,N,Y,Approved
K18QV11,2,CHILDRENS NAME AND BIRTHDAY,18=HATE SYMBOL,N,Y,Approved
LBS2HRD,1,POUNDS TOO HARD,CAN HAVE SEXUAL CONNOTATIONS,N,Y,Approved
MAKS626,2,MY LAST NAME,626=AREA CODE FOR CUSTOMER IN PASADENA,N,Y,Approved
MOJO VAN,1,MY NICKNAME,MOJO?,Y,N,invalid length
MUNKI,1,nickname,MONKEY,N,Y,Approved
NOSTEMS,7D,I HAVE 3 DAUGHTERS SO THERES NO STEMS ON MY APPLES,MARIJUANA RELATED,N,Y,Approved
OZZYNWA,2,TWO MUSIC GROUPS MIXED TOGETHER.,NWA.. N WORD,N,Y,Approved
RAMMHRD,1,"RAM VEHICLE BRAND, RAM HARD. LIFESTYLE OF LIKING THE RAM BRAND. ALL OUR VEHICLES ARE RAM/DODGE","RAM HARD, SEXUAL CONNOTATIONS",N,Y,Approved
RJ WOOD,1,RJ WOOD,WOOD CAN HAVE SEXUAL CONNOTATIONS. RJ WOOD IS CUSTOMER'S NAME,Y,N,invalid characters
R3DRUUM,"2, 7b",FROM A MOVIE CALLED THE SHINING,"REDRUM=MURDER BACKWARDS, ALSO SUB 3 for e",N,Y,Approved
TORPEX,2,OLD SCHOOL NAVY,IT'S AN EXPLOSIVE,N,Y,Approved
TORPEX1,2,OLD SCHOOL NAVY,IT'S AN EXPLOSIVE,N,Y,Approved
TORPEX2,2,OLD SCHOOL NAVY,IT'S AN EXPLOSIVE,N,Y,Approved
WELDPRN,1,WELD PERSON,PRN=PORN,N,Y,Approved
1BADZF1,3,JAPANESE CODE NAME,BAD ASS?,Y,N,contains the restricted letter combinationBAD
323CALI,2,AREA CODE CALIFORNIA,LA PUENTE AREA CODE,N,Y,Approved
8O H O8,2,80=MY UNCLE 08 MY GRANDSON H IS FOR NAME,88=HATE SYMBOL,Y,N,invalid characters
BUBZS,1,SONS NICKNAME,BOOBS,N,Y,Approved
D2TW,2,DEAD TO THIS WORLD,DEATH TO THE WORLD OR DEAD TO THE WORLD,N,Y,Approved
PMANN31,1,IT IS A TERM USED IN GYMS,pee,N,Y,Approved
DRGN BAL,3,DRAGON BALL,BALL,Y,N,invalid length
OGSCRMM,2,I'M THE ORIGINAL SOCCER MOM,OG,N,Y,Approved
S3HCT1B,3,SECTION 1 B - FAVORITE SECTION IN HIGH SCHOOL TO WATCH THE GAME.,BITCHES BACKWARDS,N,Y,Approved
CBRNCHF,3,I AM THE CBRN CHIEF FOR 1ST BATTALION 7TH MARINES,"HIS MEANING IS TRUE BUT I ALSO SEE 'CABRON' (FUCKER, BAD ASS)",N,Y,Approved
MFFMSUP,3,MY FAMILY FAMILY MY,MF? MONGOLS FOREVER FOREVER MONGOLS M/C CLUB,N,Y,Approved
AYELMAO,3,AYE LAUGHING MY ASS OFF,LMAO STANDS FOR LAUGH MY ASS OFF,N,Y,Approved
BEEBAD,2,BE BAD...BEE FOR BUMBLE BEE,"SOME COULD FIND IT OFFENSIVE, PROMOTING DOING BAD STUFF",Y,N,contains the restricted letter combinationBAD
BLWPVRT,3,BELOW POVERTY,PVRT SOUNDS LIKE PERVERT,N,Y,Approved
BLZEIT,7D,,DRUG REFERENCE,N,Y,Approved
BNTLYB,3,,THE B AT THE END COULD STAND FOR BITCH,N,Y,Approved
BRNDAG,2,SHORT FOR BRENDA GRIFFITH,"G, GANG REFERENCE",Y,N,contains the restricted letter combinationDAG
CNCMFG,3,COMPUTER NUMERICAL CONTROL MANUFACTURING,MFG COULD STAND FOR MOTHER FUCKING GANGSTER,N,Y,Approved
CPT1964,2,THE ORIGINAL YEAR OF THE CAR,"CPT CAN STAND FOR COLORED PEOPLE'S TIME, RACIST PHRASE",N,Y,Approved
CUTTY77,1,,CUTTY IS ANOTHER WORD FOR SEX OR FOR A VAGINA,N,Y,Approved
DEEVS13,2,ROLLER DERBY NAME AND NUMBER,"13, GANG REFERENCE",N,Y,Approved
DMNTED,1,DEMENTED ADJECTIVE FOR CRAZY NICE SHOW TRUCK,THE D COULD STAND FOR DICK,Y,N,dmn
DOVMERC,3,IT MEANS I LOVE DOVE HUNTING,MERC IS A WORD MEANING TO FUCK UP OR KILL IN A RUTHLESS MANNER,N,Y,Approved
DSR4DR,2,CAR CLUB 4 DOOR,"DSR IS A TYPE OF RIFLE, WEAPON REFERENCE",N,Y,Approved
DUBAGNT,7D,"I'M A WARRIOR FAN, NICKNAME THE DUBS. I'M  ALSO A REAL ESTATE AGENT.","DUB, DRUG REFERENCE",Y,N,contains the restricted letter combinationBAG
EJOHZZA,3,DAUGHTERS NICKNAME,ASSHOLE BACKWARDS,N,Y,Approved
FATMAC5,3,NICK NAME,MAC IS ANOTHER WORD FOR PIMP,Y,N,contains the restricted letter combinationFAT
FNRONY,3,A PREVIOUS OWNER OF PICKUP LIKE THIS,FN COULD STAND FOR FUCKING,N,Y,Approved
HBJULES,3,,HB COULD STAND FOR HEAD BITCH,N,Y,Approved
HIDHER,7D,HI THERE,"HI, DRUG REFERENCE",N,Y,Approved
HMMBBY,1,SF GIANTS SLOGAN,COULD BE TAKEN AS SEXUAL,N,Y,Approved
HOTROD3,1,THE REASON IM HOPING TO GET THIS  CUSTOMIZED PLATE IS BECAUSE ITS MY  NICKNAME. MY FRIENDS AND FAMILY CALL ME THAT. I THOUGHT ITD BE NEAT TO GET IT IN MY VEHICLE.,ROD IS ANOTHER WORD FOR PENIS,Y,N,ho
HZY,7D,MY NAME,"""HAZEY"" MEANS BEING HIGH",N,Y,Approved
JMESZ88,2,JAMES ZHANG LUCKY LUCKY.,"88, GANG REFERENCE",N,Y,Approved
JOCHOS,1,,"JOCHOS IS ANOTHER WORD FOR HOTDOG OR WEINER, COULD BE SEXUAL",Y,N,ho
JUICE5O,5,NICKNAME AND ENGINE LITERS,"5O, POLICE REFERENCE",N,Y,Approved
KEPITWT,1,TAHOE USED TO PULL MY BOAT TO THE FISHING  HOLE IT IS AN OLD FISHERMANS SAYING  YOU CANT CATCH FISH IF YOUR NOT IN THE WATER SO YOU KEEP THE BAIT WET,"LOOKS LIKE KEEP IT WET, WHICH IS A SEXUAL REFERENCE",N,Y,Approved
LEGBRKR,2,LEGISLATIVE BROKER,"LEG BREAKER, HOSTILE",N,Y,Approved
LOBO714,2,MEANS F150 IN SPANISH AND 714 FOR MY AREA  CODE,AREA CODE,N,Y,Approved
LUVLTHO,2,LOVE LAKE TAHOE,"""THO"" STANDS FOR T-HO AS IN TAHOE BUT HO IS A DEROGATORY TERM",Y,N,ho
LYFCOCH,1,IM A CERTIFIED LIFE COACH THAT WORKS WITH  VETERANS DEALING WITH PTSD AND SUICIDE,COCH IS TOO SIMILAR TO COCK,Y,N,contains the restricted letter combinationCOC
MOJADOS,2,,"MOJADO CAN BE A TERM MEANING ""WETBACK"" DEROGATORY TERM",N,Y,Approved
MONKIA,2,MY CAR IS A KIA AND I WAS NAMED AFTER A MONKEY,MONKI IS SIMILAR TO MONKEY WHICH IS A RACIAST TERM,N,Y,Approved
NOT4U2K,2,NOT FOR YOU TO KNOW,"U, HOSTILE",N,Y,Approved
ORION18,2,,"18, GANG REFERENCE",N,Y,Approved
RBF,3,RUNNING BOWL FISH,CAN STAND FOR RESTING BITCH FACE,N,Y,Approved
RDKNIGT,2,,"RED, GANG REFERENCE",Y,N,contains the restricted letter combinationNIG
SIKEF8,3,HONDA'S CLASS CODE TO IDENTIFY ITS MAKE  AND MODEL,EF COULD STAND FOR FUCK,N,Y,Approved
SJA88,2,,"88, GANG REFERENCE",N,Y,Approved
SS69CHV,1,,"69, SEXUAL REFERENCE",N,Y,Approved
STR8MF,3,STRAIGHT MONEY FIEND,MF STANDS FOR MOTHER FUCKER,N,Y,Approved
URSPEC,2,,"U, HOSTILE",N,Y,Approved
WEEDA14,2,CHILDHOOD NICKNAME AND FAVORITE NUMBER,"14, GANG REFERENCE",N,Y,Approved
YOUUP,2,ARE YOU DOING WELL?,"YOU, HOSTILE",N,Y,Approved
YULAD,1,,D COULD STAND FOR DICK,N,Y,Approved
1NSTY5O,5,ONE NASTY MUSTANG 5.0,"NASTY, SOME COULD TAKE IT IN OFFENSE. ALSO 5O, POLICE REFERENCE",N,Y,Approved
1969LS7,1,1969 CHEVELLE WITH LS7 ENGINE,"69, SEXUAL REFERENCE",Y,N,must be for disabled person or veteran
BLEEZEY,7D,,"ANOTHER WORD FOR A BLUNT, DRUG REFERENCE",N,Y,Approved
GMA2BZ,3,GRANDMA (ME) LOVES MY 2 GRANDSONS,BZ IS SHORT FOR BITCH,N,Y,Approved
DONYAG,2,,"G, GANG REFERENCE",N,Y,Approved
HZMT5O,5,HAZARDOUS MATERIALS OFFICER (5-0),"5O, POLICE REFERENCE",N,Y,Approved
YHC5O,5,,"5O, POLICE REFERENCE",N,Y,Approved
TIFFCAT,1,MY NICKNAME,"CAT, SEXUAL REFERENCE",Y,N,"[('fat', 85.71428571428572, 373)]"
OGRUL1,2,OLD GUYS RULE,"OG, GANG REFERENCE",N,Y,Approved
BABIBLU,2,COLOR OF CAR,"BLU, GANG REFERENCE",Y,N,bi
KABLUEY,2,ITS FOR A BLUE CAR,"BLUE, GANG REFERENCE",Y,N,"[('kalu', 88.88888888888889, 1457)]"
612,6,AREA CODE OF MY HOMETOWN,ALL DIGITS,N,Y,Approved
LVSTHEC,1,MY PASSION FOR THE OCEAN.,"THE C COULD STAND FOR COCK, ""LOVES THE COCK""",N,Y,Approved
TT2TT,1,,"""TITTIE"" ANOTHER WORD FOR BREAST, SEXUAL REFERENCE",N,Y,Approved
BCME MHR,3,HIGH SCHOOL INITIALS,BITCH,Y,N,invalid length
BEIJO BB,2,MY ONLINE BIKINI STORE NAME,BB = 88?,Y,N,invalid length
CEIDYAF,3,FIRST NAME OF OWNER AND INITALS OF PAST FMAILY MEMBER,AF = AS FUCK,N,Y,Approved
CHMP31O,2,NAME AND AREA CODE,310 = AREA CODE,N,Y,Approved
CL714,2,MY COMPANY INITIALS AND FAV NUMBERS,714 = AREA CODE,N,Y,Approved
DRUBLUD,2,NICKNAME,DREW BLOOD,N,Y,Approved
E ZILLA,2,ELECTRIC CAR HUNGRY FOR ELECTRICITY,ZILLA = GANG REFERENCE,Y,N,invalid characters
HOMBOYS,2,CLOSE FRIENDS,COULD BE GANG REFERENCE,Y,N,ho
HOMBOYZ,2,FRIENDS AND CLOSE FAMILY,COULD BE GANG REFERENCE,Y,N,ho
ISHART2,2,I SHARE ART 2. A BLOG I'M STARTING ON FINE ART.,SHART = SHIT+FART,N,Y,Approved
JKO1688,2,NO MICRO,PULLED FOR 88,N,Y,Approved
JNL69RS,1,JOHN AND LYNETTE 69RS,69ERS COULD HAVE SEXUAL CONNOTATION,N,Y,Approved
LBGOONR,2,"I LIVE IN LONG BEACH AND AM A SUPPORTER OF ARSENAL FC, WHOSE FANS ARE ""GOONERS""","PULLED FOR GOON, GANG REFERENCE",N,Y,Approved
MITY42O,7D,NICKNAME AND BIRTHDAY,420 = MARIJUANA REFERENCE,N,Y,Approved
POKEMOM,1,GAMING MOM,COULD HAVE SEXUAL CONNOTATION,N,Y,Approved
RDNKBMW,2,RED NECK BMW,REDNECK BMW,N,Y,Approved
S4ONE5F,2,SAN 415 (ZIP CODE) FRANCISCO,415 = AREA CODE,N,Y,Approved
THRTN,2,"MY FAVORITE NUMBER, THE ONLY WAY I CAN GET IT.",13 = GANG NUMBER,N,Y,Approved
13MB5QD,2,13 FOR MY LUCKY NUMBER,13 = GANG NUMBER,N,Y,Approved
139O9,2,ITS MY EMPLOYEE NUMBER,"13 = GANG NUMBER, 909 = AREA CODE",N,Y,Approved
18HR DYS,2,I WORK A LOT OF 18 HOUR DAYS IN THE FILM BUSINESS,18 = GANG NUMBER,Y,N,invalid length
2GETWET,1,SURFING RELATED,COULD HAVE SEXUAL CONNOTATION,N,Y,Approved
22A3VOM,3,"22 AGE ON BEST FRIEND DYING, 3VOM 3 KIDS FIRST INITIAL OF EACH CHILD",MOVE ASS,N,Y,Approved
327SCT2,2,327 MOTOR,327 REVOLVER,N,Y,Approved
34IW22A,3,RANDOMLY SECLECTED,ASSWIPE,N,Y,Approved
MOBOCRZ,2,NAME OF BAND,PULLED FOR MOB,N,Y,Approved
13VIRK,2,MY LAST NAME,13 = GANG NUMBER,N,Y,Approved
THEZ88,2,WIFE'S NAME,88 = HATE NUMBER,N,Y,Approved
GRABER,2,COLOR OF CAR,GRAB HER?,N,Y,Approved
NTATACO,1,NOT A TACOMA,PULLED FOR TACO,N,Y,Approved
ALLEY13,,MY DOG'S NAME AND THE YEAR SHE WAS ADOPTED,13 GANG REFERENCE,N,Y,Approved
ARROS69,,,69 SEXUAL REFERENCE,N,Y,Approved
BLU BLU,,"DAVID BOWIE LYRIC, SONG ""SOUND AND VISION"" - BLUE BLUE ELECTRIC BLUE",BLUE,Y,N,invalid characters
BULYLYF,,REPRESENTS BULL DOG LIFE FOR FANS OF THE BULL DOG BREED,BULLY LIFE,N,Y,Approved
CAULKER,,TRADESMAN,COCKER,N,Y,Approved
CC18MCP,,,18 HITLER REFERENCE,N,Y,Approved
C103015,,OCT 30 2015,LOOK  ALIKE,N,Y,Approved
FISIS,,PHYSIS WAS TAKEN. WHICH IS THE GREEK PHILOSOPHICAL TERM MEANING NATURE. & OF COURSE NATURE TAKEN AS WELL SO SOUNDS CLOSE ENOUGH. THANK YOU!,FUCK ISIS,N,Y,Approved
GTOFFME,,GET OFF ME,GET OFF ME,N,Y,Approved
IH8UOFM,,GO BUCKS!,I HATE YOU,N,Y,Approved
JAMZ 69,,MY INITIALS AND YEAR OF TRUCK,69 SEXUAL REFERENCE,Y,N,invalid characters
LOOTBOX,,ITS A VIDEO GAME TERM FOR A BOX OF PRIZES,TO STEAL,N,Y,Approved
LUVBOXR,,LOVE BOXER,LOVE BOX BOX VAGINA,N,Y,Approved
